Rk,Date,Tm,,Opp,Qtr,Time,Score (Before),Description,Score (After)
111,2014-11-05,LAC,@,GSW,4th,1:45.0,LAC down 21 (98-119),J. Farmar misses 2-pt shot from 14 ft,LAC down 21 (98-119)
112,2014-11-05,LAC,@,GSW,4th,1:26.0,LAC down 21 (98-119),J. Farmar misses 3-pt shot from 27 ft,LAC down 21 (98-119)
113,2014-11-05,LAC,@,GSW,4th,0:47.0,LAC down 19 (100-119),C. Douglas-Roberts makes 2-pt shot from 1 ft,LAC down 17 (102-119)
114,2014-11-05,LAC,@,GSW,4th,0:23.0,LAC down 19 (102-121),J. Cunningham makes 2-pt shot at rim (assist by J. Farmar),LAC down 17 (104-121)
115,2014-11-08,LAC,,POR,1st,1:59.0,LAC down 9 (27-36),B. Griffin makes 2-pt shot from 17 ft,LAC down 7 (29-36)
116,2014-11-08,LAC,,POR,1st,0:03.0,LAC down 7 (31-38),J. Crawford makes 2-pt shot from 6 ft,LAC down 5 (33-38)
117,2014-11-08,LAC,,POR,2nd,2:51.0,LAC down 14 (42-56),J. Redick makes 3-pt shot from 28 ft (assist by B. Griffin),LAC down 11 (45-56)
118,2014-11-08,LAC,,POR,2nd,2:24.0,LAC down 11 (45-56),B. Griffin misses 2-pt shot from 4 ft (block by R. Lopez),LAC down 11 (45-56)
119,2014-11-08,LAC,,POR,2nd,2:21.0,LAC down 11 (45-56),B. Griffin misses 2-pt shot from 1 ft,LAC down 11 (45-56)
120,2014-11-08,LAC,,POR,2nd,2:20.0,LAC down 11 (45-56),D. Jordan makes 2-pt shot from 1 ft,LAC down 9 (47-56)
121,2014-11-08,LAC,,POR,2nd,1:29.0,LAC down 13 (47-60),C. Paul misses 3-pt shot from 25 ft,LAC down 13 (47-60)
122,2014-11-08,LAC,,POR,2nd,1:23.0,LAC down 13 (47-60),J. Redick makes 2-pt shot from 16 ft (assist by D. Jordan),LAC down 11 (49-60)
123,2014-11-08,LAC,,POR,2nd,0:49.0,LAC down 11 (49-60),B. Griffin misses 2-pt shot from 6 ft,LAC down 11 (49-60)
124,2014-11-08,LAC,,POR,2nd,0:34.0,LAC down 11 (49-60),C. Paul makes 2-pt shot from 19 ft,LAC down 9 (51-60)
125,2014-11-08,LAC,,POR,2nd,0:01.0,LAC down 11 (51-62),J. Redick makes 2-pt shot from 15 ft (assist by C. Paul),LAC down 9 (53-62)
126,2014-11-08,LAC,,POR,3rd,2:59.0,LAC up 2 (77-75),J. Crawford misses 3-pt shot from 26 ft,LAC up 2 (77-75)
127,2014-11-08,LAC,,POR,3rd,2:31.0,LAC up 2 (77-75),D. Jordan makes 2-pt shot at rim (assist by C. Paul),LAC up 4 (79-75)
128,2014-11-08,LAC,,POR,3rd,1:53.0,LAC up 2 (79-77),J. Crawford misses 2-pt shot from 20 ft,LAC up 2 (79-77)
129,2014-11-08,LAC,,POR,3rd,1:28.0,LAC up 2 (79-77),S. Hawes misses 2-pt shot from 11 ft (block by N. Batum),LAC up 2 (79-77)
130,2014-11-08,LAC,,POR,3rd,0:25.0,LAC tied (79-79),J. Crawford misses 2-pt shot from 13 ft,LAC tied (79-79)
131,2014-11-08,LAC,,POR,4th,2:43.0,LAC up 7 (100-93),C. Paul misses 2-pt shot from 16 ft,LAC up 7 (100-93)
132,2014-11-08,LAC,,POR,4th,2:25.0,LAC up 7 (100-93),C. Paul makes 2-pt shot from 9 ft,LAC up 9 (102-93)
133,2014-11-08,LAC,,POR,4th,1:49.0,LAC up 7 (102-95),C. Paul misses 3-pt shot from 26 ft,LAC up 7 (102-95)
134,2014-11-08,LAC,,POR,4th,0:50.0,LAC up 2 (102-100),B. Griffin misses 2-pt shot from 19 ft,LAC up 2 (102-100)
135,2014-11-08,LAC,,POR,4th,0:11.0,LAC up 2 (104-102),C. Paul misses 2-pt shot from 18 ft,LAC up 2 (104-102)
136,2014-11-10,LAC,,SAS,1st,2:45.0,LAC up 2 (14-12),M. Barnes makes 3-pt shot from 28 ft (assist by J. Redick),LAC up 5 (17-12)
137,2014-11-10,LAC,,SAS,1st,2:00.0,LAC up 5 (17-12),C. Paul misses 2-pt shot from 19 ft,LAC up 5 (17-12)
138,2014-11-10,LAC,,SAS,1st,1:28.0,LAC up 5 (17-12),S. Hawes makes 2-pt shot from 8 ft (assist by J. Crawford),LAC up 7 (19-12)
139,2014-11-10,LAC,,SAS,1st,0:58.0,LAC up 7 (19-12),S. Hawes misses 3-pt shot from 26 ft,LAC up 7 (19-12)
140,2014-11-10,LAC,,SAS,1st,0:01.0,LAC up 6 (20-14),M. Barnes misses 2-pt shot from 19 ft (block by B. Diaw),LAC up 6 (20-14)
141,2014-11-10,LAC,,SAS,2nd,2:22.0,LAC up 5 (40-35),J. Crawford misses 2-pt shot from 13 ft,LAC up 5 (40-35)
142,2014-11-10,LAC,,SAS,2nd,1:02.0,LAC up 3 (40-37),J. Crawford misses 2-pt shot from 21 ft,LAC up 3 (40-37)
143,2014-11-10,LAC,,SAS,2nd,0:28.0,LAC up 1 (40-39),D. Jordan misses 2-pt shot from 3 ft,LAC up 1 (40-39)
144,2014-11-10,LAC,,SAS,2nd,0:26.0,LAC up 1 (40-39),G. Davis makes 2-pt shot from 1 ft,LAC up 3 (42-39)
145,2014-11-10,LAC,,SAS,2nd,0:01.0,LAC up 3 (42-39),J. Cunningham misses 2-pt shot from 1 ft,LAC up 3 (42-39)
146,2014-11-10,LAC,,SAS,2nd,0:01.0,LAC up 3 (42-39),D. Jordan misses 2-pt shot at rim,LAC up 3 (42-39)
147,2014-11-10,LAC,,SAS,3rd,2:58.0,LAC up 7 (64-57),J. Redick misses 2-pt shot from 2 ft (block by M. Ginobili),LAC up 7 (64-57)
148,2014-11-10,LAC,,SAS,3rd,2:06.0,LAC up 4 (64-60),B. Griffin makes 2-pt shot from 3 ft (assist by J. Farmar),LAC up 6 (66-60)
149,2014-11-10,LAC,,SAS,3rd,1:25.0,LAC up 4 (66-62),B. Griffin makes 2-pt shot at rim (assist by S. Hawes),LAC up 6 (68-62)
150,2014-11-10,LAC,,SAS,3rd,0:46.0,LAC up 4 (68-64),G. Davis makes 2-pt shot from 10 ft (assist by J. Crawford),LAC up 6 (70-64)
151,2014-11-10,LAC,,SAS,3rd,0:12.0,LAC up 6 (70-64),G. Davis misses 2-pt shot from 12 ft,LAC up 6 (70-64)
152,2014-11-10,LAC,,SAS,4th,2:33.0,LAC up 3 (82-79),J. Redick misses 3-pt shot from 26 ft,LAC up 3 (82-79)
153,2014-11-10,LAC,,SAS,4th,0:03.0,LAC down 2 (85-87),C. Paul misses 2-pt shot from 2 ft,LAC down 2 (85-87)
154,2014-11-15,LAC,,PHO,1st,2:28.0,LAC up 3 (19-16),M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul),LAC up 6 (22-16)
155,2014-11-15,LAC,,PHO,1st,1:58.0,LAC up 6 (22-16),J. Crawford misses 2-pt shot from 15 ft,LAC up 6 (22-16)
